city,state,country,latitude,longitude,visit_date,name,description
Santiago,Valparaíso,Chile,-33.447487,-70.673676,8/26/2012,Palacio De La Moneda,"La Moneda Presidential Palace, was originally used for coin minting. From 1846 to 1958, it was inhabited by the Republic’s Presidents. Today, La Moneda is the central point of the Plaza de la Constitución. Visitors may explore the gardens of this neoclassical palace and enjoy the art exhibitions of the Palacio La Moneda Cultural Center, located under the Plaza de la Ciudadanía."
Viña del Mar,Valparaíso,Chile, -33.015347,-71.550026,9/1/2012,Reloj de Flores,One of the tours I took with my school was this iconic clock. This flower clock was original built for the 1962 World Cup. This fully functioning botanical clock is still ticking.
Valparaíso,Valparaíso,Chile,-33.045559,-71.619423,9/5/2012,Colored Houses in Los Cerros,"As you meander through the port city of Valpo, you'll be drawn to its colorful streets filled in graffiti art and ---- multicolored houses nestled in the hillside."
Bogotá,Bogota,Colombia,4.624335,-74.063644,11/3/2017,La Candelaria,"It holds some of my sweetest memories! La Candelaria is beautiful, artistic and perhaps chaotic. It has it all - markets, plazas, museums, palaces, colonials buildings, narrow cobblestone streets and graffiti art!"
Medellín,Antioquia,Colombia,6.230833,-75.590553,11/1/2017,Plaza Botero,"Looking for a good day to enjoy the balmy spring weather and people watch? Look no further.  At Plaza Botero, you'll be surrounded by 23 voluptuous bronze statues  and nice greenery."
Zipaquirá,Cundinamarca,Colombia,5.0220799,-74.0048065,11/3/2017,Salt Cathedral of Zipaquirá,"First Wonder of Colombia!  Upon entering the dark  Salt Cathedral, you'll see the sculpture of the Virgen de Guasá, meaning salt and water. In the Ceremonia plaza you'll see the Cardinal Cross, the mining monument, the bell tower and the fountains. This marvelous mine beams with multicolored phosphorescent lights. You won't be able to help but smell the minerals while being surrounded by beautifully carved rocks , tunnels and sculptures. "
Moab,Utah,USA,38.571739,-109.550797,7/3/2018,Canyonlands National Park,"After driving over 1,700 miles and 24 hours later from Columbus, Ohio, I have finally arrived at Canyonlands National Park. The journey, nature, and people did not disappointed! Watching the sun set over the Colorado River was gorgeous and unforgettable! On the this 4th of July, I  stargarzed with a  lovely family from Florida and was honored to join Jorge to celebrate his birthday."
Gunnison,Colorado,USA,38.544537, -106.928354,7/2/2018,Gunnison Crested Butte,"This place is a hidden treasure in a small town. As Allie and I rushed to see a concert, the police pulled us over! After arrived shortly at this low-key, hippie, family friendly place, we mingled with locals and danced at the tune of some country music we've never heard before. "
St. Louis,Missouri,USA,38.635361,-90.200989,6/30/2018,Gateway Arch,"My first major stop on my 3,500-mile road trip from Columbus, Oh to Utah was the Gateway Arch. I-70 West seemed endless and the sun was about set.  Just 30 miles outside of St. Louis, I became overjoyed.  630 feet tall as is it's wide makes the Gateway arch the tallest national monument in the United States, which that celebrates the city's role as the ""Gateway to the West!"""
San Francisco,San Francisco,USA,37.780079,-122.420174,7/22/2017,Alcatraz Island,"I never prided myself on being a history buff, but I was quite impressed with beautiful view of Alcatraz Island and its fascinating stories. And, maybe just a little jealous that some of America's most difficult and dangerous felons got to live there from 1934 to 1963. At the time of my visit, I saw beautiful flower, the famous Gold Gate Bridge  and heard birds chirping as they minded their own business."
